STUDENTID,YEAR,NEWCOURSECODE,NEWCOURSETITLE,STUDYLEVEL,COMMUTELENGTH,ACCOMMODATIONTYPE,CAMPUSPOSTCODE,AVERAGEMODULEMARK,ACTUALATTENDANCEDAYS,EXPECTEDATTENDANCEDAYS
"L?^&%]6OT?$F]T+.YVW,Y*",2017/18,BAARC02F,BA Interior Architecture FT,Level 6,8.02,Commuter,NW1 5LS,57,27,71
L?`D9>OCV<P4/T`E>NDZ<&,2016/17,BAPHT02F,BA Photography FT,Level 4,0.59,UoW Halls,HA1 3TP,0,13,88
L?=&VOO+Y0/)8]GT@WB%++,2017/18,BALAN06F,BA Language and Other Disciplines FT,Level 6,10.06,Unknown,W1B 2HW,63,35,85
L?>CEJHI@`;%&59U<DWD=',2017/18,BACRI01F,BA Criminology FT,Level 4,12.81,Commuter,W1B 2HW,64,47,70
L?0$X\7T:E]FD25+(C9T)(,2017/18,BSBIO02F,BSc Biological Sciences FT,Level 4,3.82,Commuter,W1W 6XH,58,52,83
L?2>857R46KM?&9!1Q0<X/,2016/17,BSBMS01F,BSc Biomedical Sciences FT,Level 5,5.44,Commuter,W1W 6XH,5,26,60
L?4JFW*<I6>IZ^%EV21'5/,2016/17,BABSM06F,BA Business Management FT,Level 6,0.74,Other inc. Private Halls,NW1 5LS,58,46,101
"L?7*',5$S(\L`';J'-0DB)",2016/17,BABSM06F,BA Business Management FT,Level 6,2.38,Other inc. Private Halls,NW1 5LS,38,19,93
"L?A524Q8>P"">8ND<$=F'7+",2016/17,BSPSY02F,BSc Psychology FT,Level 4,5.38,Commuter,W1W 6XH,62,63,72
"L?A524Q8>P"">8ND<$=F'7+",2017/18,BSPSY02F,BSc Psychology FT,Level 5,5.38,Commuter,W1W 6XH,58,43,68
L?G=PN9NR']-HWQR401$_!,2016/17,BABSM06F,BA Business Management FT,Level 6,2.07,Other inc. Private Halls,NW1 5LS,65,52,99
"L?G4V*=]TU""5=X\#EZZN%,",2016/17,BABSM06F,BA Business Management FT,Level 5,5.12,Other inc. Private Halls,NW1 5LS,64,55,88
"L?G4V*=]TU""5=X\#EZZN%,",2017/18,BABSM06F,BA Business Management FT,Level 6,5.12,Other inc. Private Halls,NW1 5LS,67,52,70
"L?H,O@`GANDQ9]L@KLLX&,",2016/17,BAFAS01F,BA Fashion Buying Management FT,Level 4,0.59,UoW Halls,HA1 3TP,67,38,76
"L?H,O@`GANDQ9]L@KLLX&,",2017/18,BAFAS01F,BA Fashion Buying Management FT,Level 5,2.13,Other inc. Private Halls,HA1 3TP,69,39,65
"L?H;E>SS6!!,'.!UEJ6Z..",2016/17,BABSM06F,BA Business Management FT,Level 6,1.45,Commuter,NW1 5LS,72,68,95
"L?OI\\]GDK`].[XFD9]CV,",2016/17,BSBMS01F,BSc Biomedical Sciences FT,Level 4,4.33,Other inc. Private Halls,W1W 6XH,58,56,76
"L?OI\\]GDK`].[XFD9]CV,",2017/18,BSBMS01F,BSc Biomedical Sciences FT,Level 5,4.33,Other inc. Private Halls,W1W 6XH,65,54,72
L?PC2&N&J916JW/UC&+2.',2016/17,BSPOC06F,BSc Quantity Surveying and Commercial Management FT,Level 5,11.48,Other inc. Private Halls,NW1 5LS,57,36,50
L?PC2&N&J916JW/UC&+2.',2017/18,BSPOC06F,BSc Quantity Surveying and Commercial Management FT,Level 6,11.48,Other inc. Private Halls,NW1 5LS,66,30,48
"L?SM)#LP=5B]O=,8-PWB]0",2016/17,BAARC01F,BA Architecture FT,Level 5,4.03,Other inc. Private Halls,NW1 5LS,62,20,71
"L?SM)#LP=5B]O=,8-PWB]0",2017/18,BAARC01F,BA Architecture FT,Level 6,4.03,Other inc. Private Halls,NW1 5LS,62,7,85
L?U5.QPOS9&AA&(RU#2QK$,2017/18,BSFIN01F,BSc Finance FT,Level 6,6.02,Commuter,NW1 5LS,,54,74
L@#9GK&K)X1$B8=E*(K(I.,2016/17,BAFAS01F,BA Fashion Buying Management FT,Level 4,2.22,UoW Halls,HA1 3TP,64,42,96
L@#9GK&K)X1$B8=E*(K(I.,2017/18,BAFAS01F,BA Fashion Buying Management FT,Level 5,6.88,Other inc. Private Halls,HA1 3TP,70,49,77
"L@%Z5O\U2H`A3'%.=""(9;$",2017/18,BSBIS01F,BSc Business Information Systems FT,Level 5,9.07,Commuter,W1W 6XH,15,29,73
"L@&9UHB(1""R.=\;_!M_T80",2016/17,BAPIR01F,BA International Relations and Development FT,Level 4,3.33,Commuter,W1B 2HW,,0,2
L@(6[W&28.UL8&?8@`X53&,2016/17,BAJMC01F,BA Digital Media and Communication FT,Level 6,10.99,Other inc. Private Halls,HA1 3TP,66,26,67
"L@*MT3O'<$ODT$9IX^K;-,",2016/17,BLLAW02F,LLB Law FT,Level 6,6.95,Other inc. Private Halls,W1B 2HW,69,54,72
"L@,^)#/&V0&CXTJK&=K\%-",2016/17,BABSM06F,BA Business Management FT,Level 4,,Unknown,NW1 5LS,63,74,87
"L@,^)#/&V0&CXTJK&=K\%-",2017/18,BABSM06F,BA Business Management FT,Level 5,1.75,Other inc. Private Halls,NW1 5LS,63,74,85
"L@/<]`Z0RX,.XFM%#?MT/,",2016/17,BAARC01F,BA Architecture FT,Level 4,6.07,UoW Halls,NW1 5LS,58,34,90
"L@/<]`Z0RX,.XFM%#?MT/,",2017/18,BAARC01F,BA Architecture FT,Level 5,7.19,Other inc. Private Halls,NW1 5LS,52,22,77
L@^%)`5+1'_5@LTY^Z+BC&,2016/17,BAARC02F,BA Interior Architecture FT,Level 4,0.08,Other inc. Private Halls,NW1 5LS,55,22,32
L@^%)`5+1'_5@LTY^Z+BC&,2017/18,BAARC02F,BA Interior Architecture FT,Level 5,0.08,Other inc. Private Halls,NW1 5LS,5,7,63
L@>!8(?Q+.7[A#R:?DLFM',2016/17,BAPHT02F,BA Photography FT,Level 6,6.04,Commuter,HA1 3TP,56,4,72
"L@1%(DO*%NZ&>^[""<#\OC-",2016/17,BSPSY02F,BSc Psychology FT,Level 5,7.18,Other inc. Private Halls,W1W 6XH,52,40,77
"L@1%(DO*%NZ&>^[""<#\OC-",2017/18,BSPSY02F,BSc Psychology FT,Level 6,7.24,Other inc. Private Halls,W1W 6XH,61,47,66
"L@2"".'7+?5K7.S)@T`)Q%/",2017/18,BAFAS03F,BA Fashion Merchandise Management FT,Level 4,6.12,Other inc. Private Halls,HA1 3TP,72,53,70
"L@2HE>Q5XDA+,VGK=/VQ^(",2016/17,BAMRK01F,BA International Marketing FT,Level 4,1.58,Other inc. Private Halls,NW1 5LS,65,59,72
"L@2HE>Q5XDA+,VGK=/VQ^(",2017/18,BAMRK01F,BA International Marketing FT,Level 5,1.58,Other inc. Private Halls,NW1 5LS,62,53,75
L@5[-FFBLQX+GUK=2=&=&*,2017/18,BATOE02F,BA Tourism Planning and Management FT,Level 6,18.74,Unknown,NW1 5LS,63,30,60
L@A*Y<DF3RZ#:ORSP63O!!,2016/17,BALAN06F,BA Language and Other Disciplines FT,Level 6,5.76,Other inc. Private Halls,W1B 2HW,67,47,88
L@F`*$7D?9L#C#R-/]_)@+,2017/18,BSPSY02F,BSc Psychology FT,Level 4,9.36,Commuter,W1W 6XH,43,52,72
L@IJ@/3_6NZ/3`//=;>../,2016/17,BAJMC06F,BA Television Production FT,Level 5,2.13,Other inc. Private Halls,HA1 3TP,63,15,66
L@IJ@/3_6NZ/3`//=;>../,2017/18,BAJMC06F,BA Television Production FT,Level 6,2.13,Other inc. Private Halls,HA1 3TP,70,5,83
"L@LKZO""_'*C+WL9'""_&R*/",2016/17,BSBIO01F,BSc Biochemistry FT,Level 4,10.59,Commuter,W1W 6XH,31,21,96
L@V\C%#(('Q!O7Q/IXK2Y(,2016/17,BACRI01F,BA Criminology FT,Level 6,8.96,Other inc. Private Halls,W1B 2HW,61,30,48
L@Z]RXZL@(`(M_X24-$-I(,2016/17,BAENG07F,BA English Literature FT,Level 6,38.41,Unknown,W1B 2HW,68,48,63
L[!D'/37]V0)H5LDU.ZNX/,2016/17,BSNUT01F,BSc Human Nutrition FT,Level 4,6.64,UoW Halls,W1W 6XH,,39,98
"L[:2\#,0&W%`'[NOAU^8;&",2017/18,BAMRK01F,BA International Marketing FT,Level 6,2.41,Other inc. Private Halls,NW1 5LS,72,47,64
"L[^`W-_""[^/RX;P7YSFA&0",2017/18,BAJMC06F,BA Television Production FT,Level 4,0.59,UoW Halls,HA1 3TP,68,55,84
"L[5P"",1G(>-#UO/O>QLD')",2017/18,BSPOC06F,BSc Quantity Surveying and Commercial Management FT,Level 4,8.13,Commuter,NW1 5LS,49,34,50
"L[6X31(SK1H_J>O__1/'<""",2016/17,BAADS03F,BA Illustration and Visual Communication FT,Level 4,4.29,Commuter,HA1 3TP,71,36,72
"L[6X31(SK1H_J>O__1/'<""",2017/18,BAADS03F,BA Illustration and Visual Communication FT,Level 5,4.29,Commuter,HA1 3TP,72,21,71
"L[8(QP`Y#V'?PSX/,?K]5-",2016/17,BABSM06F,BA Business Management FT,Level 5,8.1,Other inc. Private Halls,NW1 5LS,68,48,99
"L[8(QP`Y#V'?PSX/,?K]5-",2017/18,BABSM06F,BA Business Management FT,Level 6,8.1,Other inc. Private Halls,NW1 5LS,67,35,86
"L[PX2P63^&,-4S)[38J1$/",2016/17,BABSM06F,BA Business Management FT,Level 5,6.17,Commuter,NW1 5LS,51,31,86
"L[PX2P63^&,-4S)[38J1$/",2017/18,BABSM06F,BA Business Management FT,Level 6,6.17,Commuter,NW1 5LS,46,32,71
"L\""P'3[+R/;BM`9<2Z?W1,",2017/18,BAARC01F,BA Architecture FT,Level 4,6.07,UoW Halls,NW1 5LS,46,39,107
L\/-U3!EAX$/]4A#!P/&+$,2016/17,BSMGM03F,BSc Digital Media Development FT,Level 6,16.95,Other inc. Private Halls,W1W 6XH,85,38,82
"L\;J/@;[+Y.:`(@""R>I`,/",2016/17,BACRI02F,BA Sociology and Criminology FT,Level 6,10.74,Unknown,W1B 2HW,56,3,60
L\`CE_W#@&Z8E5LU'YYMQ%,2017/18,BMMUS01F,BMus Commercial Music Performance FT,Level 4,0.59,UoW Halls,HA1 3TP,61,18,65
"L\=[4?`=2JV3P)Y:+G1RE,",2017/18,BAMRK02F,BA Marketing Communications FT,Level 4,2.84,Commuter,NW1 5LS,66,55,72
"L\=J0)38G]`N,YP51.O#R0",2016/17,BMMUS01F,BMus Commercial Music Performance FT,Level 5,0.33,Other inc. Private Halls,HA1 3TP,60,18,62
"L\=J0)38G]`N,YP51.O#R0",2017/18,BMMUS01F,BMus Commercial Music Performance FT,Level 6,0.33,Other inc. Private Halls,HA1 3TP,62,5,64
"L\A++IF""U=>15MV='8I9P0",2017/18,BAMRK02F,BA Marketing Communications FT,Level 4,5.02,Other inc. Private Halls,NW1 5LS,68,54,73
L\F!9A.86`N::(OQEN?_!#,2016/17,BABSM06F,BA Business Management FT,Level 4,0.95,Other inc. Private Halls,NW1 5LS,53,37,74
L\F!9A.86`N::(OQEN?_!#,2017/18,BABSM06F,BA Business Management FT,Level 5,0.95,Other inc. Private Halls,NW1 5LS,54,32,78
L\G-&$O!BNKW!?](SF@RS&,2016/17,BABSM06F,BA Business Management FT,Level 5,5.38,Other inc. Private Halls,NW1 5LS,75,71,86
L\G-&$O!BNKW!?](SF@RS&,2017/18,BABSM06F,BA Business Management FT,Level 6,7.23,Other inc. Private Halls,NW1 5LS,71,62,69
"L\J]IMQ\J^'EG6MFU14[/""",2017/18,BASOC01F,BA Sociology FT,Level 4,12.18,Commuter,W1B 2HW,58,51,73
L\OB%@9J9(<(.!=7EAN']),2016/17,BSMGM01F,BSc Computer Games Development FT,Level 4,7.02,Commuter,W1W 6XH,38,54,87
L\OB%@9J9(<(.!=7EAN']),2017/18,BSMGM01F,BSc Computer Games Development FT,Level 5,7.02,Commuter,W1W 6XH,18,26,55
"L\Q;NG#89P8UZ')N8-,WI0",2017/18,BAENG02F,BA English Literature and Language FT,Level 4,6.66,UoW Halls,W1B 2HW,64,46,55
"L\R1G<SP8%`HJ-""^>F4($(",2016/17,BABSM06F,BA Business Management FT,Level 5,0,UoW Halls,NW1 5LS,48,38,99
"L\R1G<SP8%`HJ-""^>F4($(",2017/18,BABSM06F,BA Business Management FT,Level 6,0.11,Other inc. Private Halls,NW1 5LS,53,12,72
L\S?VZ?/)VZA.Y:A%X<<P&,2016/17,BAMRK03F,BA Marketing Management FT,Level 5,10.32,Unknown,NW1 5LS,30,32,88
L\ZCX.%3`Q(W24E.[.]J:!,2016/17,BABSM19F,BA Commercial Studies FT,Level 5,8.39,Commuter,NW1 5LS,33,50,81
L]';8A&HQL(6#:`T4#>DV&,2016/17,BAENG03F,BA English Language and Linguistics FT,Level 6,3.28,Other inc. Private Halls,W1B 2HW,60,40,72
"L]$R2<80=KNEWZ_]\[-%""(",2016/17,BSMGM03F,BSc Digital Media Development FT,Level 6,0.96,Commuter,W1W 6XH,61,38,83
"L])DJL*1(77`,!9;CR.*3+",2016/17,BSFIN01F,BSc Finance FT,Level 6,2.12,Other inc. Private Halls,NW1 5LS,73,50,77
"L]*'V""8`710503Z%)JI)<$",2017/18,BSPOC07F,BSc Real Estate FT,Level 4,11.58,Commuter,NW1 5LS,57,25,51
L]^U]46Z0'DU!PG?0*9;3$,2016/17,BSPOC05F,BSc Property and Planning FT,Level 5,10.7,Other inc. Private Halls,NW1 5LS,34,50,61
"L]6[4[)@L)KO2/B`;.3K`""",2016/17,BAMRK01F,BA International Marketing FT,Level 6,10.66,Unknown,NW1 5LS,63,44,89
"L]8F4'Y\(XU0_LQ.#K,(I'",2016/17,BSBMS01F,BSc Biomedical Sciences FT,Level 4,20.1,Unknown,W1W 6XH,55,51,83
"L]8F4'Y\(XU0_LQ.#K,(I'",2017/18,BSBMS01F,BSc Biomedical Sciences FT,Level 5,20.1,Unknown,W1W 6XH,52,42,72
"L]65G"",S>,-O?6C=A&O:G!",2016/17,BAFAS01F,BA Fashion Buying Management FT,Level 6,8.06,Other inc. Private Halls,HA1 3TP,55,9,66
"L]79K`76,XD:PJ!1$G53?'",2016/17,BAJMC01F,BA Digital Media and Communication FT,Level 5,3.83,Unknown,HA1 3TP,69,66,84
"L]79K`76,XD:PJ!1$G53?'",2017/18,BAJMC01F,BA Digital Media and Communication FT,Level 6,3.83,Unknown,HA1 3TP,73,32,61
"L]C'@:E!;OY]^!?,=?KY](",2016/17,BABSM06F,BA Business Management FT,Level 4,2.12,Other inc. Private Halls,NW1 5LS,70,50,75
"L]C'@:E!;OY]^!?,=?KY](",2017/18,BABSM06F,BA Business Management FT,Level 5,2.12,Other inc. Private Halls,NW1 5LS,70,49,76
"L]IG1;3?ZJ7[QO1#%S""XH#",2016/17,BABSM07F,BA International Business FT,Level 6,0.92,Commuter,NW1 5LS,52,50,93
"L]M""D^I$>W5<\Q<[G1`?;*",2016/17,BSCSS02F,BSc Computer Science FT,Level 6,7.58,Commuter,W1W 6XH,72,1,86
"L]U97""W@SYOO9=B)&RQ0V-",2017/18,BAPIR04F,BA Politics FT,Level 5,7.2,Other inc. Private Halls,W1B 2HW,58,33,67
"L]W'L1\_9R4=R,1$JID(&)",2017/18,BABSM06F,BA Business Management FT,Level 4,7.91,Commuter,NW1 5LS,53,41,73
L]Z_3@Z<)ASM71CQ5?U;2$,2017/18,BAADS03F,BA Illustration and Visual Communication FT,Level 4,8.69,Other inc. Private Halls,HA1 3TP,51,30,72
L]ZA&93)/OOSCZ$OQO4[=.,2016/17,BABSM06F,BA Business Management FT,Level 4,12.97,Commuter,NW1 5LS,24,11,75
"L^-""()O10=SVQHX$6B#[B&",2016/17,BAFAS01F,BA Fashion Buying Management FT,Level 4,0.59,UoW Halls,HA1 3TP,52,24,76
"L^-""()O10=SVQHX$6B#[B&",2017/18,BAFAS01F,BA Fashion Buying Management FT,Level 5,132.24,Unknown,HA1 3TP,56,24,65
"L^!;Y(EGX0C""9L""L;^O.+,",2016/17,BSBMS04F,BSc Honours Biomedical Sciences (Sandwich) FT,Level 6,11.33,Commuter,W1W 6XH,68,31,85
"L^(L=W).,U7R=VS(@OA0[0",2016/17,BSCSS02F,BSc Computer Science FT,Level 4,5.3,Commuter,W1W 6XH,42,63,75
"L^(L=W).,U7R=VS(@OA0[0",2017/18,BSCSS02F,BSc Computer Science FT,Level 5,5.3,Commuter,W1W 6XH,37,16,70
"L^*NV!7+9Y-#;:9BQ>(V\""",2016/17,BSELE01F,BSc Electronic Engineering FT,Level 5,3.76,Commuter,W1W 6XH,49,35,103
"L^*NV!7+9Y-#;:9BQ>(V\""",2017/18,BSELE01F,BSc Electronic Engineering FT,Level 6,3.76,Commuter,W1W 6XH,53,29,99
"L^..2UL;$,08\G57WMCE-,",2016/17,BABSM06F,BA Business Management FT,Level 4,10.55,Unknown,NW1 5LS,3,5,76
L^:A\HYJS`HFO/YWS_)7M*,2016/17,BABSM06F,BA Business Management FT,Level 6,11.57,Other inc. Private Halls,NW1 5LS,50,48,92
"L^`GC8""3LPB=YY=,LH$,=0",2016/17,BAFAS02F,BA Fashion Design FT,Level 5,7.31,Other inc. Private Halls,HA1 3TP,69,0,120
"L^0+9,?F<%N9`@\CR[!TQ*",2017/18,BSFIN01F,BSc Finance FT,Level 4,6.07,UoW Halls,NW1 5LS,58,17,74
L^5L:X:/>%9GFQ&87'S14!,2016/17,BABSM06F,BA Business Management FT,Level 5,3.96,Other inc. Private Halls,NW1 5LS,52,50,86
L^5L:X:/>%9GFQ&87'S14!,2017/18,BABSM06F,BA Business Management FT,Level 6,2.41,Other inc. Private Halls,NW1 5LS,56,38,64
L^7H3J6A-41Y]@6Z0B78I%,2017/18,BSBIO02F,BSc Biological Sciences FT,Level 6,18.9,Unknown,W1W 6XH,61,62,79
L^93^`]*I+'P@^.B&U8[]!,2016/17,BEELE03F,BEng Electronic and Electrical Engineering FT,Level 4,7.65,Commuter,W1W 6XH,60,64,125
L^93^`]*I+'P@^.B&U8[]!,2017/18,BEELE03F,BEng Electronic and Electrical Engineering FT,Level 5,7.65,Commuter,W1W 6XH,43,57,118
L^A8<R*J)V:HJ[_4E\QK]/,2017/18,BAPIR03F,BA Politics and International Relations FT,Level 4,7.95,Commuter,W1B 2HW,70,35,57
L^BV!480'O=(MQ.S8G25'&,2016/17,BSPSY02F,BSc Psychology FT,Level 4,8.05,Commuter,W1W 6XH,52,37,72
L^BV!480'O=(MQ.S8G25'&,2017/18,BSPSY02F,BSc Psychology FT,Level 5,8.05,Other inc. Private Halls,W1W 6XH,57,31,67
"L^E=88O-`Z.Z0B?R?V%Z,/",2016/17,BAJMC06F,BA Television Production FT,Level 6,90.52,Unknown,HA1 3TP,59,18,77
"L^EUW:V,-$`_#[57E/7,=+",2017/18,BSBMS01F,BSc Biomedical Sciences FT,Level 6,6.64,Other inc. Private Halls,W1W 6XH,78,47,77
L^GF?$E/ZZZN8G9L^$0Q_(,2016/17,BALAN06F,BA Language and Other Disciplines FT,Level 6,91.83,Unknown,W1B 2HW,58,57,88
L^H6F/HC0N>C/3^3U%^G;/,2017/18,BABSM06F,BA Business Management FT,Level 4,6.07,UoW Halls,NW1 5LS,53,50,73
"L^J8.A,-GXC:5`RAB9XG.+",2016/17,BSPSY02F,BSc Psychology FT,Level 6,3.28,Other inc. Private Halls,W1W 6XH,60,23,71
"L^PH?Q+[D_M""EDE^!3W5K!",2016/17,BAENG03F,BA English Language and Linguistics FT,Level 4,7.2,Commuter,W1B 2HW,61,81,114
"L^PH?Q+[D_M""EDE^!3W5K!",2017/18,BAENG03F,BA English Language and Linguistics FT,Level 5,7.2,Commuter,W1B 2HW,60,49,71
"L^R"":G60@^W;3<_0>^^%B!",2016/17,BSPSY02F,BSc Psychology FT,Level 5,5.85,Commuter,W1W 6XH,57,32,72
"L^R"":G60@^W;3<_0>^^%B!",2017/18,BSPSY02F,BSc Psychology FT,Level 6,5.85,Commuter,W1W 6XH,62,17,66
"L^T*:+&K&'_U_+]6O""HFC&",2016/17,BAADS03F,BA Illustration and Visual Communication FT,Level 4,17.16,Commuter,HA1 3TP,62,43,72
"L^T*:+&K&'_U_+]6O""HFC&",2017/18,BAADS03F,BA Illustration and Visual Communication FT,Level 5,17.16,Commuter,HA1 3TP,0,1,12
L^XB`)NA1*MXC=?Z[XWHJ%,2016/17,BSBMS01F,BSc Biomedical Sciences FT,Level 4,3.79,Commuter,W1W 6XH,66,69,83
L^XB`)NA1*MXC=?Z[XWHJ%,2017/18,BSBMS01F,BSc Biomedical Sciences FT,Level 5,3.79,Commuter,W1W 6XH,62,63,72
"L^Y-ZM(6P%X.5V,6@#>1])",2016/17,BABSM06F,BA Business Management FT,Level 5,163.34,Unknown,NW1 5LS,52,44,86
"L^Y-ZM(6P%X.5V,6@#>1])",2017/18,BABSM06F,BA Business Management FT,Level 6,163.34,Unknown,NW1 5LS,53,20,75
"L_!W+?%#X5`X+.-,=LR6(.",2016/17,BABSM06F,BA Business Management FT,Level 5,2.05,Other inc. Private Halls,NW1 5LS,67,33,85
"L_!W+?%#X5`X+.-,=LR6(.",2017/18,BABSM06F,BA Business Management FT,Level 6,2.05,Other inc. Private Halls,NW1 5LS,76,32,74
L_#/RC4V:7OVC^CVXJT]:-,2017/18,BSBIS01F,BSc Business Information Systems FT,Level 4,10.41,Unknown,W1W 6XH,69,31,87
"L_(IF=DQ,`5=2]V@JQD01!",2016/17,BSCON02F,BSc Computer Network Security FT,Level 4,3.72,Commuter,W1W 6XH,74,90,101
"L_(IF=DQ,`5=2]V@JQD01!",2017/18,BSCON02F,BSc Computer Network Security FT,Level 5,3.72,Commuter,W1W 6XH,70,89,112
"L_,BVC!D8!\3?%TG>TLN^""",2016/17,BABSM06F,BA Business Management FT,Level 6,9.28,Commuter,NW1 5LS,61,38,76
L_.+9BO#!<L57UAL)0-WS+,2016/17,BSBIO02F,BSc Biological Sciences FT,Level 6,7.56,Unknown,W1W 6XH,52,30,83
L_4N*08=8*%-#^I4CY*CJ#,2016/17,BAENG03F,BA English Language and Linguistics FT,Level 4,3.99,Commuter,W1B 2HW,65,89,107
L_4N*08=8*%-#^I4CY*CJ#,2017/18,BAENG03F,BA English Language and Linguistics FT,Level 5,3.99,Commuter,W1B 2HW,63,46,49
"L_95$@[Z1$*J=S+;('AQF,",2016/17,BSBMS04F,BSc Honours Biomedical Sciences (Sandwich) FT,Level 4,0.59,UoW Halls,W1W 6XH,45,55,83
L_BR?@?K?FDQ6-*SC)0C>-,2016/17,BAPIR01F,BA International Relations and Development FT,Level 6,10.75,Other inc. Private Halls,W1B 2HW,58,25,61
"L_D#]NZHZT2V:X#ILQW>Q,",2016/17,BAADS02F,BA Graphic Communication Design FT,Level 6,14.77,Commuter,HA1 3TP,62,4,85
"L_G""EY[4AZ)A""/\$Q%3A&(",2016/17,BSCSS02F,BSc Computer Science FT,Level 4,7.88,Commuter,W1W 6XH,73,71,75
"L_G""EY[4AZ)A""/\$Q%3A&(",2017/18,BSCSS02F,BSc Computer Science FT,Level 5,7.88,Commuter,W1W 6XH,66,59,69
L_K_`O0IC+U)ZR\1H*KO<-,2017/18,BSCSS02F,BSc Computer Science FT,Level 4,4.36,Commuter,W1W 6XH,83,48,68
L_T/B546M>(M.2'KW'I`W',2017/18,BABSM06F,BA Business Management FT,Level 4,6.07,UoW Halls,NW1 5LS,73,49,72
"L_VI01)9B_:NVG%""]`'1A)",2016/17,BSACC01F,BSc Accounting FT,Level 5,7.5,Commuter,NW1 5LS,53,50,87
"L_VI01)9B_:NVG%""]`'1A)",2017/18,BSACC01F,BSc Accounting FT,Level 6,7.3,Other inc. Private Halls,NW1 5LS,58,39,64
"L_Z,7((W]:HWL7$.VF$+@""",2017/18,BABSM06F,BA Business Management FT,Level 4,6.8,Commuter,NW1 5LS,63,47,73
"L`'6-^]VXG.K_G%""Z:A$E-",2016/17,BAJMC02F,BA Journalism FT,Level 4,0.59,UoW Halls,HA1 3TP,42,33,81
L`##AWB_N2@KCTW/H.+U_',2016/17,BALAN06F,BA Language and Other Disciplines FT,Level 6,25.87,Unknown,W1B 2HW,62,37,77
"L`%2Q6-_BE^KPF,79D,6I(",2016/17,BAPIR02F,BA International Relations FT,Level 5,3.17,Other inc. Private Halls,W1B 2HW,,0,2
"L`,0@R'6/`I-#CS$8K4G]&",2017/18,BABSM06F,BA Business Management FT,Level 4,13.58,Unknown,NW1 5LS,45,52,74
L`/X+N80*WSZ+^H&_AM8[!,2016/17,BSPSY02F,BSc Psychology FT,Level 5,4.94,Other inc. Private Halls,W1W 6XH,56,32,64
L`/X+N80*WSZ+^H&_AM8[!,2017/18,BSPSY02F,BSc Psychology FT,Level 6,4.94,Other inc. Private Halls,W1W 6XH,61,28,71
L`;@^TD@H5D15Y).SS^.(+,2016/17,BSBIS01F,BSc Business Information Systems FT,Level 5,5.65,Commuter,W1W 6XH,52,59,87
L`;@^TD@H5D15Y).SS^.(+,2017/18,BSBIS01F,BSc Business Information Systems FT,Level 6,5.65,Commuter,W1W 6XH,65,16,56
"L`;TA=MCMDP*CH,)""^MGN$",2016/17,BABSM06F,BA Business Management FT,Level 4,8.33,Commuter,NW1 5LS,56,53,75
"L`;TA=MCMDP*CH,)""^MGN$",2017/18,BABSM06F,BA Business Management FT,Level 5,8.33,Commuter,NW1 5LS,51,48,77
L`]=_U4YG!G4RF5<)Q.XN/,2016/17,BAMUS01F,BA Commercial Music FT,Level 6,1.97,Unknown,HA1 3TP,59,1,59
"L`]37K+O$&P5H[K[$;$H,/",2016/17,BSBIO02F,BSc Biological Sciences FT,Level 4,7.41,Commuter,W1W 6XH,51,52,90
"L`]37K+O$&P5H[K[$;$H,/",2017/18,BSBIO02F,BSc Biological Sciences FT,Level 5,13.99,Other inc. Private Halls,W1W 6XH,57,29,69
L``L_=L@NT;AH6[@.NZNF+,2017/18,BSCON02F,BSc Computer Network Security FT,Level 4,9.08,Other inc. Private Halls,W1W 6XH,76,72,98
L`=H.CE!:31*6`EUQ3TR>*,2017/18,BSBMS03F,BSc Pharmacology and Physiology FT,Level 4,11.07,Unknown,W1W 6XH,56,48,99
L`3$#Z?$%5B`(K4KJ6C3M/,2016/17,BSNUT01F,BSc Human Nutrition FT,Level 4,9.6,Commuter,W1W 6XH,43,10,95
L`3$#Z?$%5B`(K4KJ6C3M/,2017/18,BSNUT01F,BSc Human Nutrition FT,Level 5,9.6,Commuter,W1W 6XH,10,10,82
"L`4ERUHM!""U9\:(O+/!G.#",2016/17,BAMRK02F,BA Marketing Communications FT,Level 6,33.76,Unknown,NW1 5LS,65,64,79
L`5;/;#>#R`5D)3L%27L9(,2017/18,BALAW03F,BA Legal Studies FT,Level 6,7.48,Commuter,W1B 2HW,0,0,43
"L`9SOFS7`J-&=7ST9)Q#4,",2017/18,BAFAS01F,BA Fashion Buying Management FT,Level 4,13.84,Unknown,HA1 3TP,67,49,72
"L`F^_KV.,WI_ZUN#1K<'E!",2016/17,BLLAW02F,LLB Law FT,Level 6,18.53,Unknown,W1B 2HW,61,50,95
L`JJ<*_J_P*-FJI'-6L]L0,2016/17,BAADS02F,BA Graphic Communication Design FT,Level 6,13.7,Other inc. Private Halls,HA1 3TP,60,9,85
"L`L#'Z3V.M""=F^Q]3WCM%-",2016/17,BLLAW02F,LLB Law FT,Level 6,4.02,Commuter,W1B 2HW,56,71,85
L`R0-_M';&T=WGS$\ZA6$),2016/17,BAJMC02F,BA Journalism FT,Level 5,5.37,Other inc. Private Halls,HA1 3TP,59,37,87
L`R0-_M';&T=WGS$\ZA6$),2017/18,BAJMC02F,BA Journalism FT,Level 6,3.88,Other inc. Private Halls,HA1 3TP,65,17,55
"L`T0#^M:L/Q,P19TF>_JQ-",2017/18,BSCON02F,BSc Computer Network Security FT,Level 4,27.96,Unknown,W1W 6XH,40,65,99
